Asset ID,Service,Asset Name,Category,Environment,Owner,Data Classification,CIA_Confidentiality (1-5),CIA_Integrity (1-5),CIA_Availability (1-5),Criticality (1-3),Dependencies,Primary Location,Vendor/Platform,Authentication,Notes
A0001,Identity Platform,Identity Platform Data Set 1,Data Set,Prod,IT Ops,Public,3,3,5,1,N/A,EU-West,Azure,API Key,Sample placeholder row; replace with real asset details.
A0002,Email,Email Identity 2,Identity,Prod,IT Ops,Confidential,3,3,1,3,On-prem,Factory,GCP,MFA,Sample placeholder row; replace with real asset details.
A0003,Identity Platform,Identity Platform Application 3,Application,Dev,Data Platform,Restricted,2,5,5,3,OT network,US-East,AWS,Local Accounts,Sample placeholder row; replace with real asset details.
A0004,SOC Tooling,SOC Tooling Database 4,Database,Prod,Data Platform,Confidential,3,1,1,3,SaaS,Factory,Azure,SSO,Sample placeholder row; replace with real asset details.
A0005,Identity Platform,Identity Platform Endpoint 5,Endpoint,Test,Data Platform,Public,3,2,3,2,OT network,US-West,Vendor Hosted,Service Principal,Sample placeholder row; replace with real asset details.
A0006,Customer Portal,Customer Portal OT 6,OT,Prod,IT Ops,Public,4,5,1,2,OT network,US-West,On-prem,API Key,Sample placeholder row; replace with real asset details.
A0007,ERP,ERP Data Set 7,Data Set,Dev,Data Platform,Public,2,4,3,3,On-prem,US-West,AWS,SSO,Sample placeholder row; replace with real asset details.
A0008,Customer Portal,Customer Portal Endpoint 8,Endpoint,Dev,Data Platform,Public,1,5,5,2,Filesystem,EU-West,AWS,Certificate,Sample placeholder row; replace with real asset details.
A0009,Email,Email Third Party 9,Third Party,Dev,Finance,Public,3,2,2,1,AWS RDS,Factory,On-prem,Service Principal,Sample placeholder row; replace with real asset details.
A0010,ERP,ERP Identity 10,Identity,Test,Manufacturing,Public,2,1,2,2,N/A,Factory,On-prem,API Key,Sample placeholder row; replace with real asset details.
A0011,SOC Tooling,SOC Tooling Third Party 11,Third Party,Prod,IT Ops,Internal,5,4,5,2,Filesystem,EU-West,AWS,API Key,Sample placeholder row; replace with real asset details.
A0012,Identity Platform,Identity Platform Identity 12,Identity,Prod,Finance,Public,3,1,3,2,AWS RDS,Factory,Vendor Hosted,API Key,Sample placeholder row; replace with real asset details.
A0013,SOC Tooling,SOC Tooling OT 13,OT,Test,HR,Internal,2,3,4,3,AWS RDS,Factory,GCP,Service Principal,Sample placeholder row; replace with real asset details.
A0014,Network Core,Network Core Database 14,Database,Dev,IT Ops,Confidential,4,5,3,2,On-prem,EU-West,Azure,Certificate,Sample placeholder row; replace with real asset details.
A0015,Identity Platform,Identity Platform Third Party 15,Third Party,Dev,Data Platform,Confidential,2,5,1,2,On-prem,US-West,Azure,Local Accounts,Sample placeholder row; replace with real asset details.
A0016,Data Warehouse,Data Warehouse Network 16,Network,Prod,Security,Public,5,2,3,1,OT network,EU-West,Azure,Local Accounts,Sample placeholder row; replace with real asset details.
A0017,Endpoint Fleet,Endpoint Fleet Network 17,Network,Prod,Security,Internal,4,2,3,2,AWS RDS,Factory,GCP,Service Principal,Sample placeholder row; replace with real asset details.
A0018,Email,Email Application 18,Application,Dev,Manufacturing,Confidential,3,3,4,3,AWS RDS,US-West,Azure,SSO,Sample placeholder row; replace with real asset details.
A0019,Data Warehouse,Data Warehouse Endpoint 19,Endpoint,Prod,Data Platform,Restricted,5,1,1,2,N/A,US-East,AWS,SSO,Sample placeholder row; replace with real asset details.
A0020,Email,Email Endpoint 20,Endpoint,Prod,HR,Confidential,4,3,1,1,OT network,Factory,GCP,Service Principal,Sample placeholder row; replace with real asset details.
A0021,Identity Platform,Identity Platform Endpoint 21,Endpoint,Prod,HR,Confidential,2,1,3,2,On-prem,On-prem DC,On-prem,Local Accounts,Sample placeholder row; replace with real asset details.
A0022,Data Warehouse,Data Warehouse Data Set 22,Data Set,Prod,IT Ops,Internal,4,5,3,1,SaaS,Factory,GCP,MFA,Sample placeholder row; replace with real asset details.
A0023,Email,Email Third Party 23,Third Party,Test,IT Ops,Confidential,4,5,4,3,Filesystem,On-prem DC,Vendor Hosted,API Key,Sample placeholder row; replace with real asset details.
A0024,Customer Portal,Customer Portal Identity 24,Identity,Dev,Product,Confidential,2,3,4,3,Azure SQL,EU-West,On-prem,Local Accounts,Sample placeholder row; replace with real asset details.
A0025,Identity Platform,Identity Platform Third Party 25,Third Party,Dev,IT Ops,Public,3,1,3,2,SaaS,On-prem DC,On-prem,Certificate,Sample placeholder row; replace with real asset details.
A0026,Email,Email Identity 26,Identity,Dev,Product,Confidential,5,1,1,1,SaaS,Factory,AWS,SSO,Sample placeholder row; replace with real asset details.
A0027,Email,Email OT 27,OT,Prod,IT Ops,Internal,3,3,4,3,AWS RDS,US-West,Vendor Hosted,Service Principal,Sample placeholder row; replace with real asset details.
A0028,ERP,ERP Database 28,Database,Test,IT Ops,Internal,5,1,5,2,On-prem,EU-West,Vendor Hosted,Service Principal,Sample placeholder row; replace with real asset details.
A0029,Network Core,Network Core Application 29,Application,Test,Security,Restricted,1,1,3,1,Azure SQL,EU-West,GCP,Service Principal,Sample placeholder row; replace with real asset details.
A0030,Network Core,Network Core Infrastructure 30,Infrastructure,Test,IT Ops,Restricted,3,4,4,1,OT network,On-prem DC,AWS,MFA,Sample placeholder row; replace with real asset details.
A0031,MES,MES Database 31,Database,Dev,Data Platform,Confidential,3,1,1,1,Azure SQL,US-East,Vendor Hosted,SSO,Sample placeholder row; replace with real asset details.
A0032,Endpoint Fleet,Endpoint Fleet Endpoint 32,Endpoint,Prod,Finance,Internal,3,1,2,1,N/A,On-prem DC,AWS,Local Accounts,Sample placeholder row; replace with real asset details.
A0033,SOC Tooling,SOC Tooling Database 33,Database,Test,Data Platform,Internal,4,1,2,1,OT network,US-West,Vendor Hosted,Certificate,Sample placeholder row; replace with real asset details.
A0034,Data Warehouse,Data Warehouse Data Set 34,Data Set,Dev,HR,Internal,5,3,2,1,Azure SQL,US-East,On-prem,SSO,Sample placeholder row; replace with real asset details.
A0035,Data Warehouse,Data Warehouse OT 35,OT,Dev,Data Platform,Public,5,5,4,3,AWS RDS,On-prem DC,GCP,MFA,Sample placeholder row; replace with real asset details.
A0036,Endpoint Fleet,Endpoint Fleet Data Set 36,Data Set,Dev,Data Platform,Restricted,3,3,2,2,Azure SQL,Factory,Azure,Service Principal,Sample placeholder row; replace with real asset details.
A0037,MES,MES OT 37,OT,Dev,HR,Internal,1,4,2,3,Filesystem,US-East,Vendor Hosted,SSO,Sample placeholder row; replace with real asset details.
A0038,Email,Email Endpoint 38,Endpoint,Prod,IT Ops,Restricted,3,4,2,1,On-prem,On-prem DC,Azure,Local Accounts,Sample placeholder row; replace with real asset details.
A0039,Customer Portal,Customer Portal Identity 39,Identity,Dev,HR,Internal,5,3,1,2,SaaS,US-West,AWS,Local Accounts,Sample placeholder row; replace with real asset details.
A0040,Email,Email Application 40,Application,Prod,Security,Confidential,4,2,3,1,SaaS,EU-West,AWS,API Key,Sample placeholder row; replace with real asset details.
